type,act,sat2400,gpaWeighted,gpaCumulative,satConcorded,resultCode
RD,20,1360,2.6943,2.6188,1000,2
RD,25,1800,3.6116,3.345,1290,1
RD,0,2110,4.2589,4.2589,1470,1
RD,28,1820,3.7321,3.7321,1300,2
RD,0,2070,3.9276,3.9276,1450,2
RD,0,1780,3.5607,3.5607,1270,2
RD,34,0,3.8661,3.8661,0,2
RD,33,0,3.9509,3.9509,0,2
RD,32,0,3.793,3.793,0,2
